EBT Packet Time	tracking	tracking time(s)	T[0,0]	T[0,1]	T[0,2]	T[0,3]	T[1,0]	T[1,1]	T[1,2]	T[1,3]	T[2,0]	T[2,1]	T[2,2]	T[2,3]	T[3,0]	T[3,1]	T[3,2]	T[3,3]	Frame Time(ms)	KUKA Data Time	x	y	z	a	b	c
1464723499.862660	0	0.31835	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	319	1464723499.856185	-186.618400	528.541100	53.636700	-1.523600	-1.696100	-0.597500	
1464723500.191640	0	0.32722	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	328	1464723500.180135	-210.277900	506.584300	57.746600	-1.654300	-1.811300	-0.640900	
1464723500.566305	0	0.37307	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	374	1464723500.564165	-238.346600	480.416900	61.858900	-1.788500	-1.921300	-0.683500	
1464723500.889331	0	0.32225	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	323	1464723500.888088	-262.045500	458.234000	64.678700	-1.885100	-1.991900	-0.712100	
1464723501.217827	0	0.32731	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	328	1464723501.212079	-285.751000	435.928000	66.905900	-1.966500	-2.043300	-0.732300	
1464723501.537684	0	0.31895	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	319	1464723501.536201	-309.447700	413.562800	68.540300	-2.030900	-2.075100	-0.748600	
1464723501.856466	0	0.31751	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	319	1464723501.848103	-332.234800	391.930400	69.544300	-2.076500	-2.088200	-0.756300	
1464723502.182255	0	0.32449	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	325	1464723502.172047	-355.869400	369.380400	70.004600	-2.107400	-2.083600	-0.758000	
1464723502.541480	0	0.35817	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	359	1464723502.532185	-382.078500	344.230500	69.813300	-2.120600	-2.057500	-0.752800	
1464723502.952095	1	0.40896	0.999474	0.012207	0.030041	-0.199842	-0.014876	0.995805	0.090281	-0.188857	-0.028812	-0.090680	0.995463	2.051893	0.000000	0.000000	0.000000	1.000000	410	1464723502.952114	-412.544500	314.770000	68.641800	-2.106900	-1.999800	-0.735600	
